Rank,City_country,Attribute,Value
1,"Hamilton, Bermuda",Food,207.62
1,"Hamilton, Bermuda",Cigarettes 20 Pack,17.62
1,"Hamilton, Bermuda",Public Transport,69
1,"Hamilton, Bermuda",Petrol 50L ,112.5
1,"Hamilton, Bermuda",Utility bills ,271.65
1,"Hamilton, Bermuda",Internet 60mbps ,142
1,"Hamilton, Bermuda",Gym monthly ,168.57
1,"Hamilton, Bermuda",Cinema (1 ticket),13.5
1,"Hamilton, Bermuda",Levi 501 Jeans,90.75
1,"Hamilton, Bermuda",Nike runners,142.5
2,"Basel, Switzerland",Food,208.82
2,"Basel, Switzerland",Cigarettes 20 Pack,9.4
2,"Basel, Switzerland",Public Transport,96.16
2,"Basel, Switzerland",Petrol 50L ,112.5
2,"Basel, Switzerland",Utility bills ,250.12
2,"Basel, Switzerland",Internet 60mbps ,52.59
2,"Basel, Switzerland",Gym monthly ,89.98
2,"Basel, Switzerland",Cinema (1 ticket),21.37
2,"Basel, Switzerland",Levi 501 Jeans,99.62
2,"Basel, Switzerland",Nike runners,114.84
3,"Zurich, Switzerland",Food,229.88
3,"Zurich, Switzerland",Cigarettes 20 Pack,9.51
3,"Zurich, Switzerland",Public Transport,85.48
3,"Zurich, Switzerland",Petrol 50L ,101.5
3,"Zurich, Switzerland",Utility bills ,287.05
3,"Zurich, Switzerland",Internet 60mbps ,52.59
3,"Zurich, Switzerland",Gym monthly ,78.04
3,"Zurich, Switzerland",Cinema (1 ticket),21.37
3,"Zurich, Switzerland",Levi 501 Jeans,121.35
3,"Zurich, Switzerland",Nike runners,126.88
4,"Lausanne, Switzerland",Food,210.49
4,"Lausanne, Switzerland",Cigarettes 20 Pack,9.24
4,"Lausanne, Switzerland",Public Transport,79.07
4,"Lausanne, Switzerland",Petrol 50L ,105.5
4,"Lausanne, Switzerland",Utility bills ,313.46
4,"Lausanne, Switzerland",Internet 60mbps ,59.22
4,"Lausanne, Switzerland",Gym monthly ,78.92
4,"Lausanne, Switzerland",Cinema (1 ticket),21.37
4,"Lausanne, Switzerland",Levi 501 Jeans,113.13
4,"Lausanne, Switzerland",Nike runners,131.66
5,"Zug, Switzerland",Food,207.59
5,"Zug, Switzerland",Cigarettes 20 Pack,9.62
5,"Zug, Switzerland",Public Transport,84.41
5,"Zug, Switzerland",Petrol 50L ,103
5,"Zug, Switzerland",Utility bills ,204.87
5,"Zug, Switzerland",Internet 60mbps ,54.39
5,"Zug, Switzerland",Gym monthly ,64.35
5,"Zug, Switzerland",Cinema (1 ticket),21.37
5,"Zug, Switzerland",Levi 501 Jeans,114.32
5,"Zug, Switzerland",Nike runners,120.58
6,"Bern, Switzerland",Food,187.02
6,"Bern, Switzerland",Cigarettes 20 Pack,8.81
6,"Bern, Switzerland",Public Transport,74.79
6,"Bern, Switzerland",Petrol 50L ,104
6,"Bern, Switzerland",Utility bills ,194.17
6,"Bern, Switzerland",Internet 60mbps ,56.69
6,"Bern, Switzerland",Gym monthly ,79.91
6,"Bern, Switzerland",Cinema (1 ticket),20.3
6,"Bern, Switzerland",Levi 501 Jeans,99.72
6,"Bern, Switzerland",Nike runners,126.69
7,"Santa Barbara, CA, United States",Food,135.02
7,"Santa Barbara, CA, United States",Cigarettes 20 Pack,11.34
7,"Santa Barbara, CA, United States",Public Transport,60.24
7,"Santa Barbara, CA, United States",Petrol 50L ,113
7,"Santa Barbara, CA, United States",Utility bills ,101.82
7,"Santa Barbara, CA, United States",Internet 60mbps ,65.69
7,"Santa Barbara, CA, United States",Gym monthly ,64.15
7,"Santa Barbara, CA, United States",Cinema (1 ticket),12.76
7,"Santa Barbara, CA, United States",Levi 501 Jeans,107.01
7,"Santa Barbara, CA, United States",Nike runners,129.87
8,"George Town, Cayman Islands",Food,204.2
8,"George Town, Cayman Islands",Cigarettes 20 Pack,8.55
8,"George Town, Cayman Islands",Public Transport,85.48
8,"George Town, Cayman Islands",Petrol 50L ,101
8,"George Town, Cayman Islands",Utility bills ,183.54
8,"George Town, Cayman Islands",Internet 60mbps ,60.9
8,"George Town, Cayman Islands",Gym monthly ,120.58
8,"George Town, Cayman Islands",Cinema (1 ticket),17.63
8,"George Town, Cayman Islands",Levi 501 Jeans,115.24
8,"George Town, Cayman Islands",Nike runners,124.21
9,"Geneva, Switzerland",Food,141.31
9,"Geneva, Switzerland",Cigarettes 20 Pack,14.9
9,"Geneva, Switzerland",Public Transport,61.65
9,"Geneva, Switzerland",Petrol 50L ,109
9,"Geneva, Switzerland",Utility bills ,219.5
9,"Geneva, Switzerland",Internet 60mbps ,72.67
9,"Geneva, Switzerland",Gym monthly ,51.11
9,"Geneva, Switzerland",Cinema (1 ticket),15.41
9,"Geneva, Switzerland",Levi 501 Jeans,115.8
9,"Geneva, Switzerland",Nike runners,106.6
10,"Honolulu, HI, United States",Food,140.45
10,"Honolulu, HI, United States",Cigarettes 20 Pack,14.9
10,"Honolulu, HI, United States",Public Transport,83.64
10,"Honolulu, HI, United States",Petrol 50L ,111
