City_country,Rank,Attribute,Value
"Hamilton, Bermuda",1,Food,367.62
"Hamilton, Bermuda",1,Public Transport,69
"Hamilton, Bermuda",1,Petrol 50L ,112.5
"Hamilton, Bermuda",1,Utility Bills ,271.65
"Hamilton, Bermuda",1,Internet 60mbps ,142
"Hamilton, Bermuda",1,Gym Monthly ,168.57
"Hamilton, Bermuda",1,Cinema Ticket,13.5
"Hamilton, Bermuda",1,Levi 501 Jeans ,90.75
"Hamilton, Bermuda",1,Summer dress ,55
"Hamilton, Bermuda",1,Nike Runners ,142.5
"Zurich, Switzerland",2,Food,344.51
"Zurich, Switzerland",2,Public Transport,96.16
"Zurich, Switzerland",2,Petrol 50L ,112.5
"Zurich, Switzerland",2,Utility Bills ,250.12
"Zurich, Switzerland",2,Internet 60mbps ,52.59
"Zurich, Switzerland",2,Gym Monthly ,89.98
"Zurich, Switzerland",2,Cinema Ticket,21.37
"Zurich, Switzerland",2,Levi 501 Jeans ,99.62
"Zurich, Switzerland",2,Summer dress ,49.97
"Zurich, Switzerland",2,Nike Runners ,114.84
"Basel, Switzerland",3,Food,364.5
"Basel, Switzerland",3,Public Transport,85.48
"Basel, Switzerland",3,Petrol 50L ,101.5
"Basel, Switzerland",3,Utility Bills ,287.05
"Basel, Switzerland",3,Internet 60mbps ,52.59
"Basel, Switzerland",3,Gym Monthly ,78.04
"Basel, Switzerland",3,Cinema Ticket,21.37
"Basel, Switzerland",3,Levi 501 Jeans ,121.35
"Basel, Switzerland",3,Summer dress ,51.05
"Basel, Switzerland",3,Nike Runners ,126.88
"Lausanne, Switzerland",4,Food,334.96
"Lausanne, Switzerland",4,Public Transport,79.07
"Lausanne, Switzerland",4,Petrol 50L ,105.5
"Lausanne, Switzerland",4,Utility Bills ,313.46
"Lausanne, Switzerland",4,Internet 60mbps ,59.22
"Lausanne, Switzerland",4,Gym Monthly ,78.92
"Lausanne, Switzerland",4,Cinema Ticket,21.37
"Lausanne, Switzerland",4,Levi 501 Jeans ,113.13
"Lausanne, Switzerland",4,Summer dress ,54.75
"Lausanne, Switzerland",4,Nike Runners ,131.66
"Bern, Switzerland",5,Food,319.78
"Bern, Switzerland",5,Public Transport,84.41
"Bern, Switzerland",5,Petrol 50L ,103
"Bern, Switzerland",5,Utility Bills ,204.87
"Bern, Switzerland",5,Internet 60mbps ,54.39
"Bern, Switzerland",5,Gym Monthly ,64.35
"Bern, Switzerland",5,Cinema Ticket,21.37
"Bern, Switzerland",5,Levi 501 Jeans ,114.32
"Bern, Switzerland",5,Summer dress ,40.96
"Bern, Switzerland",5,Nike Runners ,120.58
"Geneva, Switzerland",6,Food,323.78
"Geneva, Switzerland",6,Public Transport,74.79
"Geneva, Switzerland",6,Petrol 50L ,104
"Geneva, Switzerland",6,Utility Bills ,194.17
"Geneva, Switzerland",6,Internet 60mbps ,56.69
"Geneva, Switzerland",6,Gym Monthly ,79.91
"Geneva, Switzerland",6,Cinema Ticket,20.3
"Geneva, Switzerland",6,Levi 501 Jeans ,99.72
"Geneva, Switzerland",6,Summer dress ,61.97
"Geneva, Switzerland",6,Nike Runners ,126.69
"Reykjavik, Iceland",7,Food,249.13
"Reykjavik, Iceland",7,Public Transport,60.24
"Reykjavik, Iceland",7,Petrol 50L ,113
"Reykjavik, Iceland",7,Utility Bills ,101.82
"Reykjavik, Iceland",7,Internet 60mbps ,65.69
"Reykjavik, Iceland",7,Gym Monthly ,64.15
"Reykjavik, Iceland",7,Cinema Ticket,12.76
"Reykjavik, Iceland",7,Levi 501 Jeans ,107.01
"Reykjavik, Iceland",7,Summer dress ,39.53
"Reykjavik, Iceland",7,Nike Runners ,129.87
"Lugano, Switzerland",8,Food,316.39
"Lugano, Switzerland",8,Public Transport,85.48
"Lugano, Switzerland",8,Petrol 50L ,101
"Lugano, Switzerland",8,Utility Bills ,183.54
"Lugano, Switzerland",8,Internet 60mbps ,60.9
"Lugano, Switzerland",8,Gym Monthly ,120.58
"Lugano, Switzerland",8,Cinema Ticket,17.63
"Lugano, Switzerland",8,Levi 501 Jeans ,115.24
"Lugano, Switzerland",8,Summer dress ,40.96
"Lugano, Switzerland",8,Nike Runners ,124.21
"Stavanger, Norway",9,Food,244.84
"Stavanger, Norway",9,Public Transport,61.65
"Stavanger, Norway",9,Petrol 50L ,109
"Stavanger, Norway",9,Utility Bills ,219.5
"Stavanger, Norway",9,Internet 60mbps ,72.67
"Stavanger, Norway",9,Gym Monthly ,51.11
"Stavanger, Norway",9,Cinema Ticket,15.41
"Stavanger, Norway",9,Levi 501 Jeans ,115.8
"Stavanger, Norway",9,Summer dress ,54.78
"Stavanger, Norway",9,Nike Runners ,106.6
"Oslo, Norway",10,Food,262.37
"Oslo, Norway",10,Public Transport,83.64
"Oslo, Norway",10,Petrol 50L ,111
"Oslo, Norway",10,Utility Bills ,244.58
"Oslo, Norway",10,Internet 60mbps ,50.07
"Oslo, Norway",10,Gym Monthly ,46.68
"Oslo, Norway",10,Cinema Ticket,16.39
"Oslo, Norway",10,Levi 501 Jeans ,93.19
"Oslo, Norway",10,Summer dress ,42.6
"Oslo, Norway",10,Nike Runners ,103.58
"Bergen, Norway",11,Food,237.41
"Bergen, Norway",11,Public Transport,77.58
"Bergen, Norway",11,Petrol 50L ,110.5
"Bergen, Norway",11,Utility Bills ,268.94
"Bergen, Norway",11,Internet 60mbps ,50.09
"Bergen, Norway",11,Gym Monthly ,44.89
"Bergen, Norway",11,Cinema Ticket,14.39
"Bergen, Norway",11,Levi 501 Jeans ,82.2
"Bergen, Norway",11,Summer dress ,35.96
"Bergen, Norway",11,Nike Runners ,107.32
"New York City, United States of America",12,Food,265.11
"New York City, United States of America",12,Public Transport,129
"New York City, United States of America",12,Petrol 50L ,64.5
