SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,MEGANAME,LS_NAME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,TIMEZONE,UN_FID,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,MIN_ZOOM,WIKIDATAID,WOF_ID,CAPALT,NAME_EN,NAME_DE,NAME_ES,NAME_FR,NAME_PT,NAME_RU,NAME_ZH,LABEL,NAME_AR,NAME_BN,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_SV,NAME_TR,NAME_VI,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT,GEONAMESID,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,FCLASS_TLC
10,1,5,Admin-1 region capital,Bombo,,,Bombo,0,,0,0,Uganda,UGA,Uganda,UGA,Bamunanika,UG,,0.583299,32.5333,75000,21000,0,8,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q4940747,1141906025,0,Bombo,Bombo,Bombo,Bombo,Bombo,Бомбо,邦博,,بومبو,বোম্বো,Μπόμπο,बॉम्बो,Bombo,Bombo,Bombo,ボンボ,봄보,Bombo,Bombo,Bombo,Bombo,Bombo,1159113923,بمبو,בומבו,Бомбо,بومبو,邦博,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,5,Admin-1 region capital,Fort Portal,,,Fort Portal,0,,0,0,Uganda,UGA,Uganda,UGA,Kabarole,UG,,0.671004,30.275002,42670,42670,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa/Kampala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q500107,421174009,0,Fort Portal,Fort Portal,Fort Portal,Fort Portal,Fort Portal,Форт-Портал,波特爾堡,,فورت بورتال,ফোর্ট পোর্টাল,Φορτ Πορτάλ,फोर्ट पोर्टल,Fort Portal,Fort Portal,Fort Portal,フォート・ポータル,포트포털,Fort Portal,Fort Portal,Fort Portal,Fort Portal,Fort Portal,1159113959,فورت پورتال,פורט פורטל,Форт-Портал,فورٹ پورٹل,波特爾堡,233476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,3,Admin-1 region capital,Potenza,,,Potenza,0,,0,0,Italy,ITA,Italy,ITA,Basilicata,IT,,40.642002,15.798997,69060,69060,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Rome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q3543,101752567,0,Potenza,Potenza,Potenza,Potenza,Potenza,Потенца,波坦察,,بوتنسا,পোটেঞ্জা,Ποτέντσα,पोटेंजा,Potenza,Potenza,Potenza,ポテンツァ,포텐차,Potenza,Potenza,Potenza,Potenza,Potenza,1159117259,پوتنزا,פוטנצה,Потенца,پوتینتسا,波坦察,3170027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,3,Admin-1 region capital,Campobasso,,,Campobasso,0,,0,0,Italy,ITA,Italy,ITA,Molise,IT,,41.562999,14.655997,50762,50762,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Rome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q3497,101836833,0,Campobasso,Campobasso,Campobasso,Campobasso,Campobasso,Кампобассо,坎波巴索,,كامبوباسو,কেম্পুবাসু,Καμπομπάσσο,कंपोबास्सो,Campobasso,Campobasso,Campobasso,カンポバッソ,캄포바소,Campobasso,Campobasso,Campobasso,Campobasso,Campobasso,1159117283,کامپوباسو,קמפובאסו,Кампобассо,کامپوباسو,坎波巴索,3180991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,3,Admin-1 region capital,Aosta,,,Aosta,0,,0,0,Italy,ITA,Italy,ITA,Valle d'Aosta,IT,,45.737001,7.315003,34062,34062,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Rome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q3367,101830039,0,Aosta,Aosta,Aosta,Aoste,Aosta,Аоста,奥斯塔,,أوستا,আওস্তা,Αόστα,आओसता,Aosta,Aosta,Aosta,アオスタ,아오스타,Aosta,Aosta,Aosta,Aosta,Aosta,1159117361,ائوستا,אאוסטה,Аоста,آئوستا,奧斯塔,3182997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,8,Admin-0 region capital,Mariehamn,,,Mariehamn,0,,0,0,Finland,ALD,Aland,ALD,Finström,AX,,60.096996,19.949005,10682,10682,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Helsinki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q48329,101815223,0,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Мариехамн,玛丽港,,ماريهامن,মরিয়েহামেন,Μαριεχάμν,मेरिहामैन,Mariehamn,Mariehamn,Mariehamn,マリエハムン,마리에함,Mariehamn,Maarianhamina,Mariehamn,Mariehamn,Mariehamn,1159119239,ماریهام,מרייהאמן,Марієгамн,ماریہامن,玛丽港,3041732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,0,Admin-0 region capital,Ramallah,,,Ramallah,0,,0,0,Israel,IS1,Palestine,PSX,,PS,,31.902945,35.206209,24599,24599,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia/Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q158119,101921943,0,Ramallah,Ramallah,Ramala,Ramallah,Ramallah,Рамалла,拉姆安拉,,رام الله,রামাল্লাহ,Ραμάλα,रामल्ला,Rámalláh,Ramallah,Ramallah,ラマッラー,라말라,Ramallah,Ramallah,Ramallah,Ramallah,Ramallah,1159121947,رامالله,רמאללה,Рамалла,رام اللہ,拉姆安拉,282239,,,,,,,,,,,,,,Populated place,,,,,,,,,,,,,,,,,,,
8,10,3,Admin-0 capital,Vatican City,,,Vatican City,1,,1,0,Vatican,VAT,Vatican,VAT,Lazio,VA,,41.903282,12.453387,832,832,562430,2,2,,Vatican City,636762,636762,0,0,0,20,177,177,68,68,160,160,99,99,12.333333,12.333333,12.481009,12.481009,41.766667,41.766667,42.05,42.05,12.419907,41.903477,Europe/Vatican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q237,101914185,0,Vatican City,Vatikanstadt,Ciudad del Vaticano,Cité du Vatican,Vaticano,Ватикан,梵蒂冈,,الفاتيكان,ভ্যাটিকান সিটি,Βατικανό,वैटिकन नगर,Vatikán,Vatikan,Città del Vaticano,バチカン,바티칸 시국,Vaticaanstad,Watykan,Vatikanstaten,Vatikan,Thành Vatican,1159127243,واتیکان,קריית הוותיקן,Ватикан,ویٹیکن سٹی,梵蒂岡,6691831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,3,Admin-1 region capital,Poitier,,Poitiers,Poitier,0,,0,0,French Republic,FRA,France,FRA,Poitou-Charentes,FR,,46.583292,0.333277,85960,84807,80866,8,8,,Poitier,84807,0,0,0,0,10,73,73,28,28,81,81,50,50,0.25,0.25,0.416667,0.416667,46.525,46.525,46.641667,46.641667,0.338923,46.580996,Europe/Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Q6616,101750881,0,Poitiers,Poitiers,Poitiers,Poitiers,Poitiers,Пуатье,普瓦捷,,بواتييه,পোয়াতিয়ে,Πουατιέ,पॉटिए,Poitiers,Poitiers,Poitiers,ポワチエ,푸아티에,Poitiers,Poitiers,Poitiers,Poitiers,Poitiers,1159130485,پواتیه,פואטייה,Пуатьє,پوئتیے,普瓦捷,2986495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,3,Admin-1 region capital,Clermont-Ferrand,,,Clermont-Ferrand,0,,0,0,French Republic,FRA,France,FRA,Auvergne,FR,,45.779982,3.080008,233050,138681,223592,10,9,,Clermont-Ferrand,233050,0,0,0,0,10,146,146,56,56,170,170,106,106,3,3,3.183333,3.183333,45.716667,45.716667,45.941667,45.941667,3.095833,45.814318,Europe/Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Q42168,101749467,0,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Клермон-Ферран,克莱蒙费朗,,كليرمون فيران,ক্লের্মোঁ-ফেরঁ,Κλερμόν-Φεράν,क्लेरमाँ फ़ेराँ,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,クレルモン＝フェラン,클레르몽페랑,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand,1159130517,کلرمون فران,קלרמון-פראן,Клермон-Ферран,کلیرمون فیران,克萊蒙-費朗,3024635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
